year,supplier,recipient,tiv
2005,Australia,Yemen,49.0
2005,Austria,Slovenia,3.0
2005,Belarus,Azerbaijan,19.76
2005,Belarus,Djibouti,7.2
2005,Belarus,Eritrea,26.46
2005,Belgium,Bulgaria,132.0
2005,Belgium,Jordan,28.4
2005,Brazil,Bolivia,0.58
2005,Brazil,Paraguay,0.58
2005,Bulgaria,Eritrea,69.0
2005,Bulgaria,Georgia,18.4
2005,Canada,African Union**,12.6
2005,Canada,Algeria,3.0
2005,Canada,Australia,6.300000000000001
2005,Canada,Brazil,6.0
2005,Canada,Dominican Republic,2.24
2005,Canada,Greece,20.0
2005,Canada,Indonesia,0.35
2005,Canada,Iraq,0.33
2005,Canada,Poland,4.5
2005,Canada,South Korea,3.5
2005,Canada,Spain,3.0
2005,Canada,Sweden,20.0
2005,Canada,United States,152.1
2005,China,Bangladesh,0.54
2005,China,Egypt,21.0
2005,China,Iran,38.0
2005,China,Jordan,37.5
2005,China,Myanmar,20.25
2005,China,Nepal,1.75
2005,China,Pakistan,76.5
2005,China,Sri Lanka,29.25
2005,China,Sudan,18.28
2005,China,Thailand,63.25
2005,China,Turkiye,13.5
2005,China,Zimbabwe,21.0
2005,Czechia,Estonia,12.0
2005,Czechia,Georgia,20.78
2005,Czechia,India,0.09
2005,Czechia,Mali,12.84
2005,Czechia,Viet Nam,26.0
2005,Finland,Estonia,2.52
2005,Finland,Netherlands,5.0
2005,Finland,Poland,33.0
2005,France,Algeria,11.7
2005,France,Australia,51.0
2005,France,Brazil,0.97
2005,France,Brunei,0.72
2005,France,Cameroon,4.8
2005,France,Chile,299.52
2005,France,China,158.5
2005,France,Cyprus,18.0
2005,France,Finland,2.5
2005,France,Germany,25.0
2005,France,Greece,14.219999999999999
2005,France,India,101.25
2005,France,Indonesia,12.85
2005,France,Italy,8.07
2005,France,Japan,1.8
2005,France,Kuwait,6.5
2005,France,Malaysia,9.9
2005,France,Mexico,6.5
2005,France,Norway,0.77
2005,France,Pakistan,13.5
2005,France,Saudi Arabia,0.9
2005,France,South Africa,15.3
2005,France,South Korea,26.5
2005,France,Spain,14.5
2005,France,Taiwan,50.0
2005,France,United Arab Emirates,787.4
2005,France,United States,2.0
2005,Germany,Australia,251.25
2005,Germany,Austria,8.850000000000001
2005,Germany,Belgium,0.35
2005,Germany,Brazil,170.0
2005,Germany,Chile,0.48
2005,Germany,China,15.5
2005,Germany,Denmark,47.18
2005,Germany,Egypt,10.0
2005,Germany,Estonia,1.6
2005,Germany,Finland,17.95
2005,Germany,Greece,75.64
2005,Germany,India,8.0
2005,Germany,Indonesia,4.8
2005,Germany,Ireland,4.5
2005,Germany,Israel,21.0
2005,Germany,Italy,45.0
2005,Germany,Lithuania,5.6
2005,Germany,Netherlands,15.0
2005,Germany,Norway,10.0
2005,Germany,Romania,47.52
2005,Germany,South Africa,225.0
2005,Germany,South Korea,38.96
2005,Germany,Spain,214.55
2005,Germany,Switzerland,29.25
2005,Germany,Tunisia,168.0
2005,Germany,Turkiye,625.5
2005,Germany,United Arab Emirates,4.04
2005,Germany,Uruguay,17.02
2005,Ghana,DR Congo,19.06
2005,Greece,Iraq,12.96
2005,Hungary,Iraq,81.92
2005,India,Nepal,4.5
2005,India,Seychelles,14.6
2005,Indonesia,Malaysia,9.0
2005,Iran,Hezbollah (Lebanon)*,2.75
2005,Iran,Sudan,1.5
2005,Ireland,Australia,26.25
2005,Israel,Angola,8.88
2005,Israel,Australia,5.0
2005,Israel,Chile,7.5
2005,Israel,Colombia,9.5
2005,Israel,Ecuador,3.0
2005,Israel,Equatorial Guinea,10.5
2005,Israel,Finland,14.7
2005,Israel,Georgia,0.2
2005,Israel,Germany,13.0
2005,Israel,Greece,8.0
2005,Israel,India,246.7
2005,Israel,Mexico,26.4
2005,Israel,Morocco,14.0
2005,Israel,Poland,1.8
2005,Israel,Romania,23.5
2005,Israel,Singapore,7.5
2005,Israel,Spain,20.0
2005,Israel,Sri Lanka,27.96
2005,Israel,Turkiye,3.04
2005,Israel,Uganda,3.75
2005,Israel,United States,60.75
2005,Israel,Venezuela,5.0
2005,Italy,Albania,7.34
2005,Italy,Brazil,28.0
2005,Italy,Chile,16.0
2005,Italy,Czechia,12.5
2005,Italy,Germany,2.75
2005,Italy,Greece,47.25
2005,Italy,Hungary,12.5
2005,Italy,India,15.0
2005,Italy,Japan,5.25
2005,Italy,Malaysia,5.5
2005,Italy,Malta,17.5
2005,Italy,Netherlands,3.47
2005,Italy,Pakistan,42.0
2005,Italy,Peru,343.2
2005,Italy,Poland,16.0
2005,Italy,Portugal,125.0
2005,Italy,Romania,2.75
2005,Italy,South Africa,11.0
2005,Italy,Spain,60.75
2005,Italy,Tanzania,10.0
2005,Italy,Thailand,13.0
2005,Italy,Turkiye,35.0
2005,Jordan,Iraq,21.59
2005,Libya,Pakistan,112.5
2005,Moldova,Angola,18.4
2005,Netherlands,Angola,11.2
2005,Netherlands,Chile,122.88
2005,Netherlands,Germany,94.5
2005,Netherlands,Greece,20.5
2005,Netherlands,India,25.0
2005,Netherlands,Jamaica,10.0
2005,Netherlands,Romania,126.48
2005,Netherlands,South Africa,2.5
2005,Netherlands,South Korea,25.0
2005,Netherlands,Thailand,16.0
2005,Netherlands,Turkiye,26.5
2005,Netherlands,Uruguay,2.96
2005,Netherlands,Venezuela,12.0
2005,New Zealand,Thailand,0.45
2005,North Korea,Syria,15.0
2005,Norway,Finland,3.0
2005,Norway,Lithuania,2.6
2005,Oman,Bahrain,0.84
2005,Pakistan,Bangladesh,6.48
2005,Pakistan,Iraq,15.2
2005,Pakistan,Saudi Arabia,4.8
2005,Poland,Iraq,3.3
2005,Poland,Viet Nam,15.0
2005,Romania,Bangladesh,2.7
2005,Russia,Afghanistan,14.6
2005,Russia,Algeria,92.4
2005,Russia,Burkina Faso,11.88
2005,Russia,China,3076.0
2005,Russia,Czechia,175.5
2005,Russia,Egypt,153.75
2005,Russia,Eritrea,3.2
2005,Russia,Greece,63.3
2005,Russia,India,688.75
2005,Russia,Iran,15.0
2005,Russia,Kazakhstan,39.8
2005,Russia,Kyrgyzstan,2.9
2005,Russia,Laos,3.5
2005,Russia,Latvia,4.79
2005,Russia,Libya,0.8
2005,Russia,Morocco,69.0
2005,Russia,Myanmar,158.75
2005,Russia,North Korea,4.5
2005,Russia,Senegal,14.5
2005,Russia,South Korea,86.95
2005,Russia,Sudan,93.03
2005,Russia,Syria,15.0
2005,Russia,United Kingdom,1.33
2005,Russia,Viet Nam,163.95
2005,Russia,Yemen,245.75
2005,South Africa,Finland,5.0
2005,South Africa,Ghana,0.32
2005,South Africa,Nepal,1.04
2005,South Africa,Senegal,0.16
2005,South Africa,Uganda,1.86
2005,South Africa,United Nations**,1.04
2005,South Africa,United States,26.28
2005,South Africa,Zambia,0.06
2005,South Korea,Indonesia,1.9
2005,South Korea,Iraq,3.0
2005,South Korea,Turkiye,104.16
2005,Spain,Algeria,25.0
2005,Spain,Colombia,4.5600000000000005
2005,Spain,Ecuador,33.6
2005,Spain,Indonesia,12.5
2005,Spain,Poland,37.5
2005,Sweden,Australia,10.5
2005,Sweden,Czechia,370.2
2005,Sweden,Denmark,2.5
2005,Sweden,Estonia,10.2
2005,Sweden,Finland,49.4
2005,Sweden,Germany,0.4
2005,Sweden,Greece,2.0
2005,Sweden,Italy,5.4
2005,Sweden,Pakistan,4.0
2005,Sweden,Poland,1.0
2005,Sweden,Switzerland,68.8
2005,Sweden,Thailand,0.4
2005,Sweden,United Kingdom,11.5
2005,Switzerland,Austria,16.8
2005,Switzerland,China,65.0
2005,Switzerland,Denmark,7.7
2005,Switzerland,Morocco,17.6
2005,Switzerland,United States,167.3
2005,Turkiye,Bahrain,3.15
2005,Turkiye,Iraq,2.42
2005,Turkiye,Saudi Arabia,9.6
2005,Turkiye,United Arab Emirates,11.1
2005,Ukraine,Algeria,18.1
2005,Ukraine,Azerbaijan,43.6
2005,Ukraine,Belarus,5.94
2005,Ukraine,China,81.97
2005,Ukraine,Congo,3.6
2005,Ukraine,Egypt,26.0
2005,Ukraine,Georgia,51.980000000000004
2005,Ukraine,Kazakhstan,4.279999999999999
2005,Ukraine,Pakistan,12.4
2005,Ukraine,Slovakia,4.17
2005,Ukraine,Uganda,4.32
