year,rank,supplier,market_share
2005,1,United States,0.314
2005,2,Russia,0.243
2005,3,Germany,0.097
2005,4,France,0.077
2005,5,United Kingdom,0.046
2005,6,Italy,0.039
2005,7,Sweden,0.025
2005,8,Israel,0.024
2005,9,Netherlands,0.023
2005,10,China,0.016
2010,1,United States,0.323
2010,2,Russia,0.241
2010,3,Germany,0.092
2010,4,China,0.059
2010,5,United Kingdom,0.044
2010,6,France,0.034
2010,7,Israel,0.027
2010,8,Sweden,0.024
2010,9,Italy,0.022
2010,10,Ukraine,0.02
2015,1,United States,0.359
2015,2,Russia,0.202
2015,3,France,0.078
2015,4,China,0.064
2015,5,Germany,0.063
2015,6,United Kingdom,0.041
2015,7,Spain,0.034
2015,8,Italy,0.023
2015,9,Israel,0.02
2015,10,Switzerland,0.017
2020,1,United States,0.404
2020,2,Russia,0.152
2020,3,France,0.095
2020,4,Germany,0.048
2020,5,Spain,0.042
2020,6,South Korea,0.034
2020,7,Italy,0.034
2020,8,United Kingdom,0.027
2020,9,China,0.027
2020,10,Netherlands,0.021
2025,1,United States,0.417
2025,2,France,0.1
2025,3,Israel,0.078
2025,4,South Korea,0.06
2025,5,Russia,0.058
2025,6,Italy,0.057
2025,7,Germany,0.051
2025,8,China,0.026
2025,9,United Kingdom,0.021
2025,10,Netherlands,0.018
