Transfers of major conventional arms from All countries  to All countries . Deals with deliveries made for the year range '1995' to '2025';
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).;
An empty field for 'Number ordered' indicates that data is not yet available.;
SIPRI trend-indicator values (TIVs) are in millions.;
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.;
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.;
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.
;
Source: SIPRI Arms Transfers Database (c) SIPRI.;
Data generated: 12 Feb 2026 12:26:12 PM;
SIPRI AT Database ID,Supplier,Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production;
55238,Albania,Burkina Faso,PM-43 120mm,mortar,Artillery,2011,Yes,12,No,2011,No,Second hand,0.25,0.1,1.2,No;
60840,Algeria,Western Sahara,BTR-60PB,armoured personnel carrier,Armoured vehicles,2016,Yes,3,Yes,2016,Yes,Second hand,0.25,0.1,0.3,No;
33777,Angola,Cote d'Ivoire,BMP-2,infantry fighting vehicle,Armoured vehicles,2002,No,2,Yes,2002,No,Second hand,0.9,0.36,0.72,No;
33871,Angola,Cote d'Ivoire,T-55,tank,Armoured vehicles,2002,No,2,No,2002,No,Second hand,1.25,0.5,1,No;
24488,Argentina,Ecuador,M-101 105mm,towed gun,Artillery,1995,Yes,18,No,1995,No,Second hand but modernized,0.45,0.3,5.35,No;
31645,Argentina,Bolivia,M-3 Half-track,armoured personnel carrier,Armoured vehicles,2006,No,37,Yes,2006,No,Second hand,0.15,0.06,2.22,No;
32179,Argentina,Uruguay,Pucara,ground-attack aircraft,Aircraft,2000,No,1,No,2000,No,Second hand,5,2,2,No;
60797,Argentina,Uruguay,Pucara,ground-attack aircraft,Aircraft,2002,No,1,No,2002,No,Second hand,5,2,2,No;
53100,Argentina,Paraguay,M-3 Half-track,armoured personnel carrier,Armoured vehicles,2007,No,20,Yes,2011,Yes,Second hand,0.15,0.06,1.2,No;
57015,Armenia,Sudan,An-32,transport aircraft,Aircraft,2005,Yes,1,No,2006,No,Second hand,11,4.4,4.4,No;
27354,Aruba,Israel,B-707,transport aircraft,Aircraft,1996,Yes,1,No,1996,No,Second hand,44.5,17.8,17.8,No;
67673,Australia,Ukraine,RBS-70-3,portable SAM,Missiles,2024,,100,Yes,2024,,Second hand,0.1,0.04,4,No;
67697,Australia,Fiji,Bushmaster,armoured personnel carrier,Armoured vehicles,2024,,14,,2024,,Second hand,0.35,0.14,1.96,No;
67675,Australia,Ukraine,JDAM-ER,guided glide bomb,Missiles,2024,Yes,100,Yes,2024,,Second hand,0.1,0.04,4,No;
63685,Australia,New Zealand,Bushmaster -,armoured personnel carrier,Armoured vehicles,2020,No,43,No,2023,No,New,0.32,0.32,13.76,No;
68378,Australia,Sri Lanka,King Air,light transport aircraft,Aircraft,2022,Yes,1,,2024,,Second hand,2.85,1.14,1.14,No;
68381,Australia,Fiji,Guardian PC AUS,patrol boat,Ships,2024,,1,,2024,,New,7,7,7,No;
38937,Australia,Netherlands,Bushmaster -,armoured personnel carrier,Armoured vehicles,2006,No,25,No,2006,No,New,0.32,0.32,8,No;
51101,Australia,Netherlands,Bushmaster -,armoured personnel carrier,Armoured vehicles,2009,No,14,Yes,2009,No,New,0.32,0.32,4.48,No;
61905,Australia,New Zealand,Bushmaster,armoured personnel carrier,Armoured vehicles,2015,No,5,No,2018,No,Second hand,0.35,0.14,0.7,No;
58240,Australia,Tonga,Guardian PC AUS,patrol boat,Ships,2014,No,1,No,2019,No,New,7,7,7,No;
58240,Australia,Tonga,Guardian PC AUS,patrol boat,Ships,2014,No,1,No,2020,No,New,7,7,7,No;
61902,Australia,Japan,Bushmaster -,armoured personnel carrier,Armoured vehicles,2017,Yes,4,No,2018,No,New,0.32,0.32,1.28,No;
58241,Australia,Solomon Islands,Guardian PC AUS,patrol boat,Ships,2014,No,1,No,2019,No,New,7,7,7,No;
58241,Australia,Solomon Islands,Guardian PC AUS,patrol boat,Ships,2014,No,1,No,2021,No,New,7,7,7,No;
61911,Australia,Netherlands,Bushmaster -,armoured personnel carrier,Armoured vehicles,2016,Yes,8,Yes,2017,Yes,New,0.32,0.32,2.56,No;
40334,Australia,Netherlands,Bushmaster -,armoured personnel carrier,Armoured vehicles,2007,No,5,No,2007,No,New,0.32,0.32,1.6,No;
40334,Australia,Netherlands,Bushmaster -,armoured personnel carrier,Armoured vehicles,2007,No,6,Yes,2008,No,New,0.32,0.32,1.92,No;
57484,Australia,Sri Lanka,Bay PC,patrol boat,Ships,2014,Yes,2,No,2014,No,Second hand,6.5,2.6,5.2,No;
35939,Australia,Indonesia,C-130H Hercules,transport aircraft,Aircraft,2013,No,1,No,2013,No,Second hand but modernized,28,18.48,18.48,No;
35939,Australia,Indonesia,C-130H Hercules,transport aircraft,Aircraft,2013,No,1,Yes,2014,No,Second hand but modernized,28,18.48,18.48,No;
35939,Australia,Indonesia,C-130H Hercules,transport aircraft,Aircraft,2013,No,2,Yes,2015,No,Second hand but modernized,28,18.48,36.96,No;
65535,Australia,Ukraine,Waran,armoured personnel carrier,Armoured vehicles,2022,No,28,No,2022,No,Second hand,0.35,0.14,3.92,No;
57744,Australia,Oman,HSSV-72,transport ship,Ships,2014,No,2,No,2016,No,New,20,20,40,No;
61904,Australia,Fiji,Bushmaster,armoured personnel carrier,Armoured vehicles,2017,No,10,No,2017,No,Second hand,0.35,0.14,1.4,No;
61873,Australia,Chile,Perry,frigate,Ships,2019,No,2,No,2020,No,Second hand,300,120,240,No;
56684,Australia,New Zealand,Penguin-2,anti-ship missile,Missiles,2013,No,11,Yes,2014,Yes,New,0.4,0.4,4.4,No;
56684,Australia,New Zealand,Penguin-2,anti-ship missile,Missiles,2013,No,9,Yes,2015,No,New,0.4,0.4,3.6,No;
58022,Australia,Indonesia,Bushmaster -,armoured personnel carrier,Armoured vehicles,2013,No,3,No,2014,No,New,0.32,0.32,0.96,No;
51102,Australia,Netherlands,Bushmaster -,armoured personnel carrier,Armoured vehicles,2009,No,9,No,2009,No,New,0.32,0.32,2.88,No;
58065,Australia,Japan,Bushmaster -,armoured personnel carrier,Armoured vehicles,2014,No,4,No,2014,No,New,0.32,0.32,1.28,No;
50317,Australia,Netherlands,Bushmaster -,armoured personnel carrier,Armoured vehicles,2008,No,13,No,2008,No,New,0.32,0.32,4.16,No;
31772,Australia,New Zealand,Tenix-1600 -,patrol ship,Ships,2004,No,2,No,2010,No,New,33,33,66,Yes;
65361,Australia,Ukraine,Bushmaster,armoured personnel carrier,Armoured vehicles,2022,No,70,Yes,2022,No,Second hand,0.35,0.14,9.8,No;
65361,Australia,Ukraine,Bushmaster,armoured personnel carrier,Armoured vehicles,2022,No,50,Yes,2023,No,Second hand,0.35,0.14,7,No;
58353,Australia,Tonga,Forgacs-30M,landing craft,Ships,2014,No,1,No,2015,No,New,5.4,5.4,5.4,No;
64806,Australia,Indonesia,Bushmaster,armoured personnel carrier,Armoured vehicles,2023,No,15,No,2023,No,Second hand,0.35,0.14,2.1,No;
58527,Australia,Philippines,Balikpapan,landing craft,Ships,2015,No,2,No,2015,No,Second hand,8,3.2,6.4,No;
31919,Australia,United States,Incat,transport ship,Ships,2002,No,1,No,2002,No,New,30,30,30,No;
33857,Australia,United States,Incat,transport ship,Ships,2001,No,1,No,2001,No,New,30,30,30,No;
34657,Australia,United States,WestPac Express,transport ship,Ships,2001,No,1,No,2001,No,Second hand,30,12,12,No;
34658,Australia,United States,Incat,transport ship,Ships,2003,No,1,No,2003,No,New,30,30,30,No;
52073,Australia,Netherlands,Bushmaster -,armoured personnel carrier,Armoured vehicles,2015,No,4,No,2016,No,New,0.32,0.32,1.28,No;
52073,Australia,Netherlands,Bushmaster -,armoured personnel carrier,Armoured vehicles,2015,No,8,Yes,2017,Yes,New,0.32,0.32,2.56,No;
61404,Australia,Canada,F-18C,FGA aircraft,Aircraft,2018,No,3,No,2019,No,Second hand,37.5,15,45,No;
61404,Australia,Canada,F-18C,FGA aircraft,Aircraft,2018,No,8,No,2020,No,Second hand,37.5,15,120,No;
61404,Australia,Canada,F-18C,FGA aircraft,Aircraft,2018,No,7,Yes,2021,No,Second hand,37.5,15,105,No;
58889,Australia,Papua New Guinea,Balikpapan,landing craft,Ships,2014,No,1,No,2014,No,Second hand,8,3.2,3.2,No;
58528,Australia,Philippines,Balikpapan,landing craft,Ships,2015,Yes,3,No,2016,No,Second hand,8,3.2,9.6,No;
56850,Australia,Jamaica,Bushmaster -,armoured personnel carrier,Armoured vehicles,2013,No,6,Yes,2015,No,New,0.32,0.32,1.92,No;
56850,Australia,Jamaica,Bushmaster -,armoured personnel carrier,Armoured vehicles,2013,No,6,Yes,2016,No,New,0.32,0.32,1.92,No;
55681,Australia,Indonesia,C-130H Hercules,transport aircraft,Aircraft,2015,Yes,2,Yes,2016,No,Second hand,28,11.2,22.4,No;
55681,Australia,Indonesia,C-130H Hercules,transport aircraft,Aircraft,2015,Yes,3,Yes,2017,No,Second hand,28,11.2,33.6,No;
36390,Australia,United States,EPF,transport ship,Ships,2008,No,1,No,2012,No,New,30,30,30,Yes;
24364,Australia,New Zealand,Tenix-340,patrol boat,Ships,2004,No,4,No,2009,No,New,14,14,56,Yes;
39397,Australia,Trinidad and Tobago,Austal-30m,patrol boat,Ships,2008,No,6,No,2010,No,New,4,4,24,No;
24470,Australia,Malaysia,Eagle-ARV,light aircraft/UAV,Aircraft,2000,Yes,3,No,2001,No,New,0.23,0.23,0.69,Yes;
39045,Australia,Jordan,SB-7L,light aircraft,Aircraft,2006,No,6,Yes,2006,Yes,New,0.11,0.11,0.66,Yes;
57069,Australia,India,Thornycroft 26m,patrol boat,Ships,2004,Yes,1,Yes,2006,Yes,New,8.3,8.3,8.3,Yes;
57069,Australia,India,Thornycroft 26m,patrol boat,Ships,2004,Yes,2,Yes,2007,Yes,New,8.3,8.3,16.6,Yes;
57069,Australia,India,Thornycroft 26m,patrol boat,Ships,2004,Yes,2,Yes,2008,Yes,New,8.3,8.3,16.6,Yes;
57069,Australia,India,Thornycroft 26m,patrol boat,Ships,2004,Yes,2,Yes,2009,Yes,New,8.3,8.3,16.6,Yes;
57069,Australia,India,Thornycroft 26m,patrol boat,Ships,2004,Yes,2,Yes,2010,No,New,8.3,8.3,16.6,Yes;
57069,Australia,India,Thornycroft 26m,patrol boat,Ships,2004,Yes,2,Yes,2011,No,New,8.3,8.3,16.6,Yes;
50141,Australia,United Kingdom,Bushmaster -,armoured personnel carrier,Armoured vehicles,2008,No,24,Yes,2008,Yes,New,0.32,0.32,7.68,No;
62026,Australia,Trinidad and Tobago,Cape AUS,patrol boat,Ships,2019,No,2,No,2021,No,New,16,16,32,No;
52954,Australia,Netherlands,Bushmaster -,armoured personnel carrier,Armoured vehicles,2009,No,14,No,2009,No,New,0.32,0.32,4.48,No;
58239,Australia,Papua New Guinea,Guardian PC AUS,patrol boat,Ships,2014,No,1,No,2018,No,New,7,7,7,No;
58239,Australia,Papua New Guinea,Guardian PC AUS,patrol boat,Ships,2014,No,2,No,2021,No,New,7,7,14,No;
58239,Australia,Papua New Guinea,Guardian PC AUS,patrol boat,Ships,2014,No,1,No,2023,No,New,7,7,7,No;
54322,Australia,United States,KC-707,tanker/transport aircraft,Aircraft,2011,No,3,No,2011,No,Second hand,80,32,96,No;
